test,arch,platform,passed,status,extra_args,qemu,qemu_time,ram_size,rom_size
tests/benchmark/sys_kernel/microkernel/test,x86,qemu_x86_iamcu,True,,,True,12.233542442321777,51574,26214
tests/kernel/test_sleep/test,arc,arduino_101_sss,True,,,False,,4896,9872
tests/bluetooth/init/test_6,x86,arduino_101,True,,CONF_FILE=prj_6.conf,False,,15868,57962
tests/bluetooth/init/test_13,arm,frdm_k64f,True,,CONF_FILE=prj_13.conf,False,,14300,46330
tests/bluetooth/init/test_h5_dbg,arm,olimexino_stm32,True,,CONF_FILE=prj_h5_dbg.conf,False,,15548,28968
tests/bluetooth/init/test_15,arm,frdm_k64f,True,,CONF_FILE=prj_15.conf,False,,14272,45126
tests/benchmark/sys_kernel/microkernel/test,x86,minnowboard,True,,,False,,52296,26928
samples/philosophers/nanokernel/test,arm,stm32_mini_a15,True,,,False,,9704,8696
tests/kernel/test_ring_buf/test,x86,minnowboard,True,,,False,,12898,8718
tests/bluetooth/shell/test_x86_nano,x86,arduino_101,True,,KERNEL_TYPE=nano,False,,20236,100848
tests/bluetooth/test_bluetooth/test_micro,arm,arduino_due,True,,,False,,11392,21152
tests/kernel/test_stackprot/nanokernel/test,arm,qemu_cortex_m3,True,,,True,0.008025407791137695,4300,7028
tests/benchmark/footprint/nanokernel/footprint-max,arm,frdm_k64f,True,,TEST=max,False,,4844,11516
tests/bluetooth/shell/test_x86,x86,arduino_101,True,,,False,,25340,106269
tests/kernel/test_task_priv/test,x86,qemu_x86_iamcu,True,,,True,3.2454142570495605,24332,15768
tests/bluetooth/init/test_micro,x86,galileo,True,,,False,,60844,48380
samples/drivers/spi_test/test,x86,arduino_101,True,,,False,,5664,15579
samples/synchronization/microkernel/test,x86,arduino_101,True,,,False,,10464,18598
tests/kernel/test_context/test,x86,quark_d2000_crb,True,,,False,,4108,11782
tests/kernel/test_lifo/test,x86,quark_se_devboard,True,,,False,,9284,23142
tests/kernel/test_lifo/test,arm,stm32_mini_a15,True,,,False,,7480,17624
tests/kernel/test_stack/nanokernel/test,x86,quark_se_devboard,True,,,False,,11564,17301
tests/bluetooth/init/test_3,arm,arduino_due,True,,CONF_FILE=prj_3.conf,False,,12648,30100
tests/kernel/test_rand32/test,arm,nucleo_f103rb,True,,,False,,8724,13140
tests/benchmark/sys_kernel/nanokernel/test,x86,galileo,True,,,False,,49826,39094
tests/bluetooth/shell/test_nble_nano,x86,arduino_101,True,,"CONF_FILE=""prj_nble.conf"" KERNEL_TYPE=nano",False,,15072,46837
tests/kernel/test_mail_priv/test,arm,frdm_k64f,True,,,False,,13400,23512
tests/kernel/test_ipm/test,x86,arduino_101,True,,,False,,6080,14429
samples/cpp_synchronization/nanokernel/test,x86,galileo,True,,,False,,36077,27833
tests/bluetooth/init/test_16,x86,qemu_x86_iamcu,True,,CONF_FILE=prj_16.conf,True,,48874,39802
tests/bluetooth/init/test_1,arm,olimexino_stm32,True,,CONF_FILE=prj_1.conf,False,,13068,31884
tests/benchmark/footprint/microkernel/footprint-max,arm,qemu_cortex_m3,True,,TEST=max,True,,15432,29224
tests/bluetooth/init/test_0,x86,quark_se_devboard,True,,CONF_FILE=prj_0.conf,False,,13116,29953
tests/crypto/test_sha256/test,x86,minnowboard,True,,,False,,64631,19247
tests/bluetooth/init/test_11,arm,qemu_cortex_m3,True,,CONF_FILE=prj_11.conf,True,,13804,44720
tests/benchmark/footprint/nanokernel/footprint-max,x86,arduino_101,True,,TEST=max,False,,6336,13942
tests/kernel/test_map/test,arm,stm32_mini_a15,True,,,False,,12832,15508
tests/kernel/test_xip/nanokernel/test,x86,quark_se_devboard,True,,,False,,5236,13327
tests/kernel/test_critical/test,arm,arduino_due,True,,,False,,8704,11668
tests/bluetooth/init/test_14,arm,arduino_due,True,,CONF_FILE=prj_14.conf,False,,13776,44316
tests/kernel/test_obj_tracing/nanokernel/test,arm,arduino_due,True,,,False,,9476,6752
tests/benchmark/footprint/nanokernel/footprint-reg,arm,nucleo_f103rb,True,,TEST=reg,False,,2072,7028
tests/bluetooth/init/test_h5_dbg,arm,frdm_k64f,True,,CONF_FILE=prj_h5_dbg.conf,False,,15704,29342
tests/benchmark/latency_measure/nanokernel/test,x86,quark_d2000_crb,True,,,False,,2800,12833
tests/crypto/test_aes/test,x86,minnowboard,True,,,False,,36512,26968
tests/kernel/test_fifo_priv/test,x86,qemu_x86,True,,,True,0.6866002082824707,27217,18617
tests/kernel/test_stackprot/microkernel/test,x86,qemu_x86,True,,,True,0.24894404411315918,25071,16539
tests/kernel/test_ipm/test,x86,quark_se_devboard,True,,,False,,6080,14416
tests/kernel/test_sprintf/microkernel/test,arm,stm32_mini_a15,True,,,False,,8624,20884
tests/bluetooth/init/test_15,arm,nucleo_f103rb,True,,CONF_FILE=prj_15.conf,False,,14076,44696
tests/bluetooth/init/test_6,arm,stm32_mini_a15,True,,CONF_FILE=prj_6.conf,False,,13784,43804
tests/bluetooth/init/test_1,arm,arduino_due,True,,CONF_FILE=prj_1.conf,False,,12648,29280
tests/kernel/test_xip/microkernel/test,arm,qemu_cortex_m3,True,,,True,0.0012521743774414062,7388,10200
tests/kernel/test_sleep/test,x86,arduino_101,True,,,False,,5832,15954
tests/bluetooth/init/test_21,arm,qemu_cortex_m3,True,,CONF_FILE=prj_21.conf,True,,18172,79804
samples/synchronization/nanokernel/test,x86,quark_d2000_crb,True,,,False,,3052,9960
samples/cpp_synchronization/nanokernel/test,x86,minnowboard,True,,,False,,14084,8912
tests/kernel/test_timer/microkernel/test,arm,olimexino_stm32,True,,,False,,14132,26248
tests/bluetooth/init/test_3,x86,arduino_101,True,,CONF_FILE=prj_3.conf,False,,15004,44398
tests/bluetooth/init/test_h5,x86,qemu_x86_iamcu,True,,CONF_FILE=prj_h5.conf,True,,33712,24192
samples/power/power_hooks/test,x86,minnowboard,True,,,False,,24323,17803
tests/kernel/test_rand32/test,x86,quark_se_devboard,True,,,False,,10364,18846
tests/kernel/test_critical/test,arm,qemu_cortex_m3,True,,,True,14.745388269424438,8752,11168
tests/kernel/test_errno/test,arc,quark_se_sss_devboard,True,,,False,,4872,8044
tests/kernel/test_build/test_debug,x86,quark_se_devboard,True,,CONF_FILE=debug.conf,False,,7260,22248
tests/kernel/test_task_priv/test,arm,arduino_due,True,,,False,,10628,13468
samples/cpp_synchronization/nanokernel/test,x86,quark_d2000_crb,True,,,False,,3072,6474
samples/bluetooth/peripheral/test_arm,arm,nucleo_f103rb,True,,,False,,17832,57744
tests/kernel/test_timer/nanokernel/test,arm,qemu_cortex_m3,True,,,True,29.315496921539307,7416,8680
tests/kernel/test_sleep/test,arm,olimexino_stm32,True,,,False,,4196,10520
tests/kernel/test_timer/microkernel/test,x86,arduino_101,True,,,False,,15776,32490
tests/kernel/test_sema_priv/test,x86,arduino_101,True,,,False,,19308,23648
tests/bluetooth/init/test_19,x86,galileo,True,,CONF_FILE=prj_19.conf,False,,77677,65421
tests/kernel/test_mail_priv/test,arm,arduino_due,True,,,False,,12860,21024
tests/benchmark/sys_kernel/microkernel/test,x86,qemu_x86,True,,,True,12.240648984909058,52204,26836
tests/kernel/test_rand32/test,x86,galileo,True,,,False,,43588,34028
tests/kernel/test_lifo/test,x86,arduino_101,True,,,False,,9284,23155
tests/bluetooth/init/test_0,arm,frdm_k64f,True,,CONF_FILE=prj_0.conf,False,,11432,21294
tests/kernel/test_mail/test,arm,nucleo_f103rb,True,,,False,,13236,23216
samples/kernel_event_logger/microkernel/test,x86,galileo,True,,,False,,61311,40719
tests/bluetooth/init/test_14,x86,minnowboard,True,,CONF_FILE=prj_14.conf,False,,65904,56192
tests/kernel/test_sema_priv/test,arm,olimexino_stm32,True,,,False,,17620,17476
tests/bluetooth/init/test_nano,arc,quark_se_sss_devboard,True,,KERNEL_TYPE=nano,False,,7780,21112
samples/philosophers/nanokernel/test,arc,quark_se_sss_devboard,True,,,False,,10548,7536
tests/bluetooth/init/test_18,arm,frdm_k64f,True,,CONF_FILE=prj_18.conf,False,,14988,38918
tests/bluetooth/init/test_13,arm,arduino_due,True,,CONF_FILE=prj_13.conf,False,,13732,43332
samples/bluetooth/peripheral_sc_only/test_x86,x86,qemu_x86,True,,,True,,62871,53191
tests/kernel/test_obj_tracing/microkernel/test,x86,arduino_101,True,,,False,,16292,21362
tests/bluetooth/init/test_h5_dbg,arm,nucleo_f103rb,True,,CONF_FILE=prj_h5_dbg.conf,False,,15500,28932
tests/net/buf/test,x86,qemu_x86,True,,,True,,18457,15301
tests/kernel/test_events/test,arm,frdm_k64f,True,,,False,,12080,16328
samples/bluetooth/ipsp/test_arm,arm,qemu_cortex_m3,True,,,True,,39464,78592
tests/kernel/test_libs/test,arm,qemu_cortex_m3,True,,,True,0.014133453369140625,10564,12384
tests/bluetooth/init/test_12,x86,qemu_x86,True,,CONF_FILE=prj_12.conf,True,,63080,53400
tests/bluetooth/init/test_15,arm,stm32_mini_a15,True,,CONF_FILE=prj_15.conf,False,,13980,44692
tests/benchmark/footprint/microkernel/footprint-min,arm,nucleo_f103rb,True,,TEST=min,False,,1872,9148
tests/bluetooth/init/test_18,x86,qemu_x86,True,,CONF_FILE=prj_18.conf,True,,54178,44994
tests/kernel/test_stack/nanokernel/test,x86,minnowboard,True,,,False,,21150,11706
tests/kernel/test_build/test_debug,arm,nucleo_f103rb,True,,CONF_FILE=debug.conf,False,,5708,21724
tests/kernel/test_stackprot/microkernel/test,arm,qemu_cortex_m3,True,,,True,0.01579761505126953,10512,13740
tests/kernel/test_tickless/microkernel/test,x86,galileo,True,,,False,,47045,35405
tests/bluetooth/init/test_h5_dbg,x86,minnowboard,True,,CONF_FILE=prj_h5_dbg.conf,False,,45723,33131
tests/kernel/test_sema/microkernel/test,arm,arduino_due,True,,,False,,9552,15228
tests/kernel/test_map_priv/test,x86,quark_se_devboard,True,,,False,,14596,21758
tests/benchmark/latency_measure/nanokernel/test,x86,quark_se_devboard,True,,,False,,8520,16700
